Enivrement,"Tchwit, boulé, sou, kokomèrlo pran’l"
Entier,Antchè
Entrée dans le jeu,Bank
Entrepreneur,"Antréprénèr, antrouprounò"
Ennuyer,"Annouyé, annwiyé, annwiyen"
Enveloper,"Pontonnen, plontonnen"
Envelopper,Vlopé
Épais,Pès
Épi de maïs,Baton-mi
Épouvantail,Bwabwa
Éprendre (s’),Anmouraché
Et puis,Épi
Esprits des bois,"Gigonbya, Tonakri, Jan-Nao, Maskilili, Mèt-Bwa"
Esquive,"Galman, kata-kata"
Et bien !,Monfi ! Mo fi !
Etaie,Zété
Étirer (s’),Dérédi
Étonné (faire l’),Kiwang
Eux,Yé
Exemple,"Lézanp, lègzanp, ègzanp"
"Exiger, exigeant","Èjoujé, èjoujan (vieilli)"
Expliquer,Espliké
Expulser,"Kouri dèyè, voyé-alé"
Fabriquant,Fèzò
Fâché,"Biské, kòlè"
Fainéant,Fenyan
Faire court,Filé kont long
Faire l’imbécile,Fè djendjen
Faire la sieste,Sigalé (sigal=cigarette (vieilli))
Faire le délicat,Fè chichi
Faire le dur,"(Fè) ròklò, majò"
Faire ses affaires,"Alé-viré, monté-désann"
Faire vibrer,Troumousen
Faner (qui se … vite),Boutché gimanmen
Fauché,"San anyen, pòch ka koulé laglas"
Faux (quelqu’un de),Anba-anba
Fermer,Fronmen
Fête,Tan
Fiable (peu),"Bwa-pouri, lakrèm tournen, kouto kakao"
Fin,Finisman
"Fini, finir","Kaba, fini"
Fois (une),Fwè
Foutu,"Blogodow, pa vo anyen"
Foyer de feu,"Fouyé, fouyé-difé"
Froid,Frédi
Fumée,"Lafimen, Laboukann"
Fumer,Boukannen
Garde-manger,Gad-manjé
Gâteux,"Gaga, Agaga, bébétoum"
Gatisme,Bébétoum
Gendarmerie,Jandanbri
Gens d’ailleurs,"Moun laro, anba, ròtbò, lavil, bitasyon, bati,
danbwa"
